Section,Category,Code,Question,A,B,C,D,Correct,Answer source
Hygiene,Hygiene,H24,Cleaning equipment between uses:,Is not necessary if tools have plastic handles,Is not necessary if tools are made of stainless steel,Reduces the risk of cross contamination,Is not necessary if the larder is secure from pests and predators,C,Known (FSA highlights)
Hygiene,Hygiene,H25,"Whilst preparing a carcass in the larder, you drop your knife on the floor. You should:",Pick it up and carry on regardless,Wipe the blade on the carcass,Wipe the blade clean on a disposable paper towel,"Wash and sanitise it before continuing, or replace it",D,Known (FSA highlights)
Hygiene,Hygiene,H26,A game larder can be used to store:,Carcasses and firearms and other shoot equipment,Carcasses and preparation equipment only,Chemicals as long as game is not present,Equipment and firearms but not controlled chemicals,B,Known (FSA highlights)
Hygiene,Hygiene,H27,Smoking when working with carcasses:,Good because it hides the smell,"Allowed, as long as the butts are disposed safely",Not allowed as it creates a risk to food safety,Good because it keeps the flies away from the carcasses,C,Known (FSA highlights)
Hygiene,Hygiene,H28,You arrive at the larder with several carcasses. You should:,Unload everything onto the ground outside the larder,Unload everything onto the larder floor to sort it out,Unload straight from the vehicle onto gambrels in the larder,Put the game in the cold store in sacks to hang up later,C,Known (FSA highlights)
Hygiene,Hygiene,H29,Which of the following statements is true?,Fur and feathered game must be hung separately only if they were shot in different woods,Fur and feathered game can be hung together in the larder,You require two separate larders for fur and feather,Fur and feathered game must be hung separately,D,Known (FSA highlights)
Hygiene,Hygiene,H30,Which one of the following is a common food pest?,Spider,Blowfly,Woodlice,Bee,B,Known (FSA highlights)
Hygiene,Hygiene,H31,The most effective way for laying pest bait (poison) is:,"On saucers in the larder, so it is easy to see how much bait has been taken",Outside the larder in approved bait boxes,Inside the larder in a wire cage,"In plastic sachets inside the larder, so it is easy to see when the bags are missing",B,Known (FSA highlights)
Hygiene,Hygiene,H32,Your larder door lets flies in through a gap by the hinges. You can best solve this problem by:,Spraying the carcasses inside and out with fly spray,Hanging up sticky fly papers near the carcasses,Use a sealant in the gap to make the door fly-proof,Giving a few squirts of fly spray into the air each time you close the door.,C,Known (FSA highlights)
Hygiene,Hygiene,H33,Contamination caused by pests in a larder can be dealt with by:,Leaving food outside the larder for the pests to eat,Using cats to control the pests,Good temperature control,Preventing access to pests,D,Known (FSA highlights)
Hygiene,Hygiene,H34,Indicate the main reason why pests are not allowed in a game larder:,Pests make customers nervous,Pests make staff nervous,Pests can transfer food poisoning bacteria to food,It is expensive to employ private contractors to get rid of pests,C,Known (FSA highlights)
Hygiene,Hygiene,H35,When should the larder be cleaned?,Regularly once a month,After each use and between batches of game,At the beginning and end of the season,Only when heavily soiled,B,Known (FSA highlights)
Hygiene,Hygiene,H36,Which of the following actions will help ensure that disinfectants are used effectively?,Keep them topped up regularly,Always store in a dark room,Make them up as strong as possible,Used in accordance with the label,D,Known (FSA highlights)
Hygiene,Hygiene,H37,What should you use when cleaning the larder floor and walls?,A strong-smelling disinfectant like Jeyes fluid,A pine-scented toilet disinfectant like Harpic,An approved food safe cleaner,Dilute ammonia or Savlon.,C,Known (FSA highlights)
Hygiene,Hygiene,H38,Disinfectants will do which of the following?,Remove bacteria completely,Remove stains from impervious surfaces,Reduce the number of bacteria to a safe level,Remove grease from working surfaces,C,Known (FSA highlights)
Hygiene,Hygiene,H39,"If inappropriate cleaning agents are used in the larder, it may lead to:",Game meat only being fit for your own consumption,A public health risk if it enters the human food chain,A lower financial return for the carcasses,Sweet smelling carcasses,B,Known (FSA highlights)
Hygiene,Hygiene,H40,Your larder drain is smelly. You should:,Flush it out well with clean water and an approved cleaning agent,Pour a whole bottle of lavatory cleaner down it,Use any brand of cleaner as long as it has a strong pine smell,Use an air freshener until the weather gets colder,A,Known (FSA highlights)
Hygiene,Hygiene,H41,Which one of the following is the correct method of storing cleaning materials?,In the game larder,In the Gun room,In a clearly marked cupboard,On a window sill in the tool store,C,Known (FSA highlights)
Hygiene,Hygiene,H42,How can you make sure that cleaning agents are used properly?,By always following the label,Store them in the toilet,Use double the concentration,Add them to a detergent,A,Known (FSA highlights)
Hygiene,Hygiene,H43,Which one of the following statements is true?,A detergent kills bacteria,A sterilizer removes dirt,Disinfectants cannot be used to sterilise a surface,A sanitizer kills bacteria,D,Known (FSA highlights)
Hygiene,Hygiene,H44,Cleaning chemicals which are not rinsed from food handling areas:,Can contaminate the food and may be a risk to human health,Will help to keep the area clean over a longer period of time,Demonstrate you have cleaned the larder,Will breakdown when in contact with meat,A,Known (FSA highlights)
Hygiene,Hygiene,H45,Which one of the following statements best describes the action of a detergent?,It kills all bacteria and cleans floors,It removes grease and food debris but does not kill bacteria,It sterilises worktops and leaves no smell,It reduces the number of bacteria on worktops,B,Known (FSA highlights)
Hygiene,Hygiene,H46,The main reason for the use of disinfectants in the game meat industry is to:,Mask the smell of rotten game,Kill all bacteria on work surfaces and equipment,Reduce bacteria to a safe level on work surfaces and equipment,"Remove dirt, grease and food particles",C,Known (FSA highlights)
Hygiene,Hygiene,H47,Disinfectants are used in food preparation areas to:,Remove stains from surfaces,Reduce bacteria to a safe level,Reduce smells from drains,Reduce the need for scrubbing,B,Known (FSA highlights)
Hygiene,Hygiene,H48,"After each use, larders should be cleaned to:",Keep them clean in case the EHO visits,To keep the game dealer happy,To ensure they do not get rusty and last a lifetime,To prevent bacteria being transferred to the next batch of game,D,Known (FSA highlights)
Hygiene,Hygiene,H49,"It is important to store larder waste in a sealed container, why?",To keep the waste fresh,To reduce the risk of cross contamination,To help keep overalls clean,To keep the temperature of the waste down,B,Known (FSA highlights)
Hygiene,Hygiene,H50,What is the minimum depth below ground that you should bury larder waste if permitted to do so on that site?,1inch,1cm,1m,1 foot,C,Known (FSA highlights)
Hygiene,Hygiene,H51,What should you do if you cut your finger whilst handling game?,Carry on working,Bandage the cut,Stop work and go home,Cover the cut with a waterproof blue coloured detectable dressing,D,Known (FSA highlights)
Hygiene,Hygiene,H52,Why should you wash your hands frequently whilst handling game?,Stops you smelling of game,To protect yourself from infection,To reduce the risk of cross contamination,To prevent your hands getting sore,C,Known (FSA highlights)
Hygiene,Hygiene,H53,Eating food of any type in the game larder is?,Allowed if you wash your hands,Poor hygiene practice and should not be allowed,Allowed if you do not put food wrappers in the rubbish bin,Allowed if you do not use the knives or other tools,B,Known (FSA highlights)
Hygiene,Hygiene,H54,Your assistant has diarrhoea and you are short-handed. You should tell them to:,Stay close to a toilet and do all the larder work,Go out to the woods but take plenty of toilet paper with him,Not to handle game or do any larder work,"Stop complaining, take a pill and wear plastic gloves when handling game",C,Known (FSA highlights)
Hygiene,Hygiene,H55,You have a small open wound. You should:,Wash the cut and apply antiseptic before dealing with game carcasses,Put on a blue dressing and a plastic glove before handling any game,Put on a bandage dressing to absorb the blood,"Ignore the wound, there is plenty of blood about anyway",B,Known (FSA highlights)
Hygiene,Hygiene,H56,"It is muddy and wet. When you get to the larder, what is the minimum precaution you should take?",Get finished quickly even if your clothes and boots are very muddy,Not touch any carcass until you have changed into white clothes and a hairnet,Wash your boots outside and put on a clean apron,Keep a set of old overalls in the larder to protect your clothes from blood,C,Known (FSA highlights)
Hygiene,Hygiene,H57,"When preparing carcasses in the larder, you should wash your hands and knife:",On each occasion before you touch or cut exposed flesh,Before you start and when you finish working on each carcass,Only if they are very dirty,Only if the deer had to be dragged during extraction and is muddy,B,Known (FSA highlights)
Hygiene,Hygiene,H58,You are suffering from food poisoning on the day of a shoot. Which ONE of the following should you do?,Not work with game meat,Work as normal.,Take the day off,Keep quiet about it,A,Known (FSA highlights)
Hygiene,Hygiene,H59,If a gamekeeper has a boil on their arm what should they do?,Stay at home,Tell the Environmental Health Department,Work as normal,Stay at work but wear a blue plaster over the boil and don’t handle the meat,D,Known (FSA highlights)
Hygiene,Hygiene,H60,Why would you have to avoid handling game meat if a member of your household has food poisoning symptoms?,Handling meat could trigger symptoms in you,Bacteria from the meat could make the sick person’s symptoms worse,You might need to leave work quickly,You may be carrying food poisoning germs without showing symptoms,D,Known (FSA highlights)
Hygiene,Hygiene,H61,Which one of the following is a common symptom of food poisoning?,Vomiting,Rashes,Sore throat,Blurred vision,A,Known (FSA highlights)
Hygiene,Hygiene,H62,Which one of the following is a common symptom of food poisoning?,Diarrhoea,Aching muscles,Tiredness,Sneezing,A,Known (FSA highlights)
Hygiene,Hygiene,H63,Which one of the following statements about food law is correct?,Only the owner of a food business can be prosecuted,You do not have to tell your supervisor if you have diarrhoea,You break the law if you do not maintain minimum standards of cleanliness at work,You cannot break Food Law if you are self employed,C,Known (FSA highlights)
Hygiene,Hygiene,H64,Which one of the following statements about food law is correct?,Only needs to be registered as a food business if selling outside of the game season,Any supply of processed game meat requires registration as a food business,"Only game dealers, shops and pubs selling food are considered food businesses",You prepare game for your own consumption you must be registered as food business,B,Known (FSA highlights)
Hygiene,Hygiene,H65,"If you are delivering carcasses to an Approved Game Handling Establishment, what minimum principles should you meet for personal hygiene?",You should observe the current regulations and codes of practice for personal hygiene while handling wild game,You can only handle game you shot and transported,Make sure you have wiped any blood off your hands before handling the carcass,You do not need to abide by any regulations for export carcasses,A,Known (FSA highlights)
Hygiene,Hygiene,H66,You have to change a wheel on your ATV before handling carcasses:,There is no need to wash your hands,Wash your hands in the nearest puddle,There is no hygiene problem as long as the equipment used is clean,You should wear clean plastic gloves whenever handling carcasses,D,Known (FSA highlights)
Hygiene,Hygiene,H67,Protective clothing is worn in the larder to:,Protect personal clothing from becoming spoiled with blood,Make the larder workforce look professional,Impress the Environmental Health Officer,Prevent personal clothing being a source of contamination,D,Known (FSA highlights)
Hygiene,Hygiene,H68,Hygiene regulations help ensure game larders maintain:,Personal safety,Food safety,The Working Time Directive,Health & Safety at Work,B,Known (FSA highlights)
Hygiene,Hygiene,H69,The light in a game larder must be:,Not less than 2000 lux,Not less than 3 x 5 foot neon tubes,Sufficient to inspect carcasses,A single 150 watt bulb,C,Known (FSA highlights)
Hygiene,Hygiene,H70,Which one of the following statements is correct?,Food Laws protects the consumer from poor food hygiene practices,Only large food companies have to have hazard analysis,Food Laws do not apply to a stand selling hot dogs at a funfair,Food laws only applies to medium-high risk food,A,Known (FSA highlights)
Hygiene,Hygiene,H71,Which one of the following statements about bacteria is correct?,Insects do not spread bacteria,All bacteria can be washed off food,Bacteria grow best below 5ºC,Dirty cloths can spread bacteria,D,Known (FSA highlights)
Hygiene,Hygiene,H72,At which one of the following temperatures do food poisoning bacteria grow best?,7º C,53º C,37º C,75º C,C,Known (FSA highlights)
Hygiene,Hygiene,H73,Which one of the following statements is true?,All food businesses must be registered,Lavatories must lead directly into food rooms,Smoking is not allowed within 50 meters of a food production area,All food handlers with less than 12 months experience need a medical before they start work,A,Known (FSA highlights)
Hygiene,Hygiene,H74,Which one of the following is a legal requirement for a food business?,They must only employ staff aged 18 or over,Premises must be maintained in good condition and kept clean,There must be a canteen serving hot drinks for breaks,There must be a ‘NO SMOKING’ notice in the toilets,B,Known (FSA highlights)
Hygiene,Hygiene,H75,A well designed game larder has:,Sufficient room and light to handle/inspect game easily and store it,Poor insulation which will not prevent game from heating up,No door to allow easy access with trays and carcasses,A wooden floor and walls so blood can drain away easily,A,Known (FSA highlights)
Hygiene,Hygiene,H76,Hygiene regulations lay down measures to ensure that game transport:,Maintains the safety of food,Maintains driver safety,Has a limited environmental impact,Stipulates minimum quantities of food transported,A,Known (FSA highlights)
Hygiene,Hygiene,H77,"When recovering game from the field to the larder, the best method of transport is:",The quickest and cheapest to run,The largest and best cross-country performance,The one which gets the game home in best condition.,The one which has the most traditional image,C,Known (FSA highlights)
Hygiene,Hygiene,H78,It is a legal requirement for larder equipment & tools to be?,Cleanable,Easy to use,Recorded,Disposable,A,Known (FSA highlights)
Hygiene,Hygiene,H79,Which of the following features of larder tools and equipment is controlled by food hygiene legislation?,Safety,Ease of cleaning,Appearance,Colour,B,Known (FSA highlights)
Hygiene,Hygiene,H80,All work surfaces used in a game larder must be made of:,Sanded and varnished planks of timber,Non-absorbent materials,Solid beech blocks and sawn wood,Asbestos sheeting.,B,Known (FSA highlights)
Hygiene,Hygiene,H81,HACCP Plan (Hazard Analysis Critical Control Point) should start :,When preparing to hunt game,When disposing of game,When the game arrives at the larder,When game arrives at the game dealer,A,Known (FSA highlights)
Hygiene,Hygiene,H82,Which one of the following statements about HACCP is true?,It is primarily concerned with the management of food safety,It is intended to reduce weekly working hours,The purpose is to reduce accidents by game delivery vehicles,It increases the value of wild game meat,A,Known (FSA highlights)
Hygiene,Hygiene,H83,Which one of the following statements best describes ‘Hazard Analysis Critical Control Point system’ (HACCP)?,HACCP seeks to identify food hygiene hazards and control them,HACCP is mainly concerned with fire prevention and escape on the premises,The entire HACCP system only needs to be reviewed once every 4 years,HACCP is not suitable for use in game collecting centres,A,Known (FSA highlights)
Hygiene,Hygiene,H84,Who must follow the HACCP principles?,Game dealers only,Only stalkers and game shooters,The local authority Environmental Health Officer,Everyone involved in handling game carcasses,D,Known (FSA highlights)
Hygiene,Hygiene,H85,Who must maintain records when placing a carcass into the human food chain?,The Veterinary officer at an approved game dealer only,Food Business Operators only,Everyone who supplies game at each level,The local authority Environmental Health Officer,C,Known (FSA highlights)
Hygiene,Hygiene,H86,All game being supplied to an Approved Game Handling Establishment must first be inspected by:,The land owner or representing agent,Any Gamekeeper/ stalker,A trained person,The driver of the delivery vehicle,C,Known (FSA highlights)
Hygiene,Hygiene,H87,Good record keeping is important for food safety because it enables:,The accountants and tax man to detect fraud,Customers to sue the suppliers of tough meat more easily,The police to get written evidence to prosecute poachers,Game to be traced both forward and back within the food chain,D,Known (FSA highlights)
Hygiene,Hygiene,H88,Labelling of large game is required if it is being supplied to a game dealer - at what stage should this be undertaken?,Immediately the deer is removed from where it was shot,On arrival at the game larder,When it is delivered to the game dealer’s door,After inspection by a trained person,D,Known (FSA highlights)
Hygiene,Hygiene,H89,"If you sell a carcass to a game dealer with a declaration you have signed, but have not actually inspected the carcass or internal organs you have?",Committed an offence under the Food Hygiene Regulations,To tell the game dealer,Sell carcass to be processed into burgers in the local hotel only,To ensure you keep the best cuts of venison,A,Known (FSA highlights)
Hygiene,Hygiene,H90,Traceability requires labelling of large game carcasses. At what stage should this be undertaken?,As soon as the animal is found,Before removal from the larder,After inspection by a trained person,On delivery to the game dealer,C,Known (FSA highlights)
Hygiene,Hygiene,H91,All operators of food businesses must keep sufficiently detailed and accurate records to allow:,Food to be traced from supplier to those supplied at each stage,The weight loss in processing to be calculated,County of origin to be put on the label,Any fraud to be detected,A,Known (FSA highlights)
Hygiene,Hygiene,H92,The declaration completed by a trained person for a large game carcass after inspection and before sale must show:,Name and address of trained person to whom payment should be made,"Weight, age and species of animal only","Name of trained person, number, time, date, place of killing and declare it shows no abnormalities","Name of trained person, temperature and weight before gralloching.",C,Known (FSA highlights)
Hygiene,Hygiene,H93,"As the only trained person on a shoot, you should:",Ask the other hunters if the game was behaving normally before being shot and inspect all carcasses yourself,Only inspect those carcasses where a problem is reported,Require all game to be kept un-gralloched until the end of the day so you can do everything yourself at the same time,Issue all hunters and assistants with your labels and tell them to inspect the carcasses and plucks themselves,A,Known (FSA highlights)
Hygiene,Hygiene,H94,You are the only trained hunter on the estate but you have 2 assistants helping you with a deer cull. They may:,Gralloch and inspect everything as long as they report to you any abnormalities found,Gralloch the deer themselves but must retain the offal for your inspection,Gralloch and dispose of the green offal if you have previously shown them how to inspect it,Do nothing to the carcass without you being present,B,Known (FSA highlights)
Hygiene,Hygiene,H95,"A deer runs onto a frozen pond, falls through the ice and drowns. A trained hunter may:","Retrieve it, inspect it and sell it to a dealer in the normal way after draining it of water","Retrieve it, inspect it and give it away to the beaters but not sell it","Retrieve it, inspect it, fire a shot into it and then sell to the dealer",None of these – the carcass must not enter the food chain because it was not killed by a legal hunting method,D,Known (FSA highlights)
Hygiene,Hygiene,H96,Your assistant is a good shot but not a trained hunter. You place him in a high seat and should tell him to:,"Note the animal's behaviour before shooting, gralloch but wait for you to inspect it.","Gralloch the deer completely, leave the offal in the wood and drag out the carcass.",Gralloch the green offal only and bury it,Leave the un-gralloched carcass at the foot of the high seat and walk home.,A,Known (FSA highlights)
Hygiene,Hygiene,H97,You find a game animal freshly dead by the side of a road. What can you do with the carcass?,Inform the local authority so they can dispose of the carcass,Take it home and eat it yourself,Give it away only,Sell it to a game dealer only,A,Known (FSA highlights)
Hygiene,Hygiene,H98,"You find a dead game animal with minimal damage lying by the roadside, what should you do?",Sell it to a Food Business Operator,Take it home to eat yourself,Ensure that it cannot enter the food chain,Take it home to feed your dog,C,Known (FSA highlights)
Hygiene,Hygiene,H99,The correct disposal route for large amounts of game larder offal and waste products is to:,Dispose of in a recognised legal manner,Sell it as pig food to a farmer,Put it in a dustbin for Council rubbish collection,Take it back out to the woods for scavengers.,A,Known (FSA highlights)
Hygiene,Hygiene,H100,"For good food hygiene practice, when should waste be removed from the workplace?",When the game has been collected by the dealer,When the Environmental Health Officer is due to visit,When it starts to get smelly,When preparation of game for storage is complete,D,Known (FSA highlights)
Hygiene,Hygiene,H101,If you suspect game has been exposed to veterinary medication what is your legal responsibility?,Label it dog food only,Ensure the withdrawal period has been observed,Bury in the woods and tell nobody,You must inform all your friends that the meat may have side effects when eaten,B,Known (FSA highlights)
Hygiene,Hygiene,H102,"You manage a deer park and your best stag has to be darted with a no withdrawal period drug, under veterinary supervision. Two months (eight weeks) later he is shot. The carcass:",Can go into the food chain immediately it has been inspected,Can never go into the food chain,Could have gone into the food chain 6 months (26 weeks) after treatment,Could have gone into the food chain 1 month (4 weeks) after treatment,B,Known (FSA highlights)
Hygiene,Hygiene,H103,"If game has been recently treated with drugs, what is your legal responsibility?",Ensure you observe any withdrawal period before it enters the food chain,Shoot it and label it as dog food only,Shoot it and bury in the woods and tell nobody,Shoot it and attach a label stating that the meat may have side effects when eaten,A,Known (FSA highlights)
Hygiene,Hygiene,H104,"If game has been recently treated with drugs, where would you find relevant information?",On the packaging label,The neighbouring keeper,Social media sites,Other syndicate members,A,Known (FSA highlights)
Hygiene,Hygiene,H105,If park deer have been recently treated with drugs prior to culling what is your legal responsibility as far a record keeping is concerned?,Attach a label to the deer carcasses stating it has been recently treated with drugs and keep a copy of the label,No records are required,Maintain a record of the drugs administered and note the withdrawal period expiry date,Tell the vet to record and report it,C,Known (FSA highlights)
Hygiene,Hygiene,H106,Why is it important to keep records of any veterinary treatments you have administered?,So that you can avoid treating more than you need to,To be able to report the treatment to the FSA,So you can let the Vet know how well the treatment worked,So you can monitor withdrawal periods and ensure game meat is safe to eat,D,Known (FSA highlights)
Hygiene,Hygiene,H107,If you suspect a notifiable disease you must?,Label carcass as dog food only,Report it to the Animal and Plant Health Agency at the earliest opportunity,Bury carcass in the woods and tell nobody,Warn all your friends the meat may have long term health effects if eaten,B,Known (FSA highlights)
Hygiene,Hygiene,H108,"If you have a carcass with a minor abnormality, what should you do?",Feed it to the dogs,Keep it for home use,Make sausages out of the normal looking parts,Note it on your declaration,D,Known (FSA highlights)
Hygiene,Hygiene,H109,A carcass with a suspected notifiable disease must be:,Hung up with others until disease is confirmed,Quarantined for further inspection,Left in the woods where it was culled,Used for animal food only,B,Known (FSA highlights)
Hygiene,Hygiene,H110,The reason the law requires even suspicion of certain diseases to be reported to the Animal & Plant Health Agency is that:,These diseases pose a risk to both human and animal health.,Media action may be required to prevent a food scare,The animal is suffering and it is cruel not to report it,Researchers can only obtain their samples this way,A,Known (FSA highlights)
Hygiene,Hygiene,H111,Who would you inform if you suspected a notifiable disease?,Police & Chief environmental health officer,District Council,Animal and Plant Health Agency,Local Vet,C,Known (FSA highlights)
Hygiene,Hygiene,H112,"If you report a suspicion of bovine TB to your local Animal and Plant Health Agency, the correct response from them is to:",Tell you to preserve samples associated organs and hold the carcass for their inspection,Order you to incinerate the carcass immediately,Tell you to bury the carcass immediately,Send you written permission to sell the carcass,A,Known (FSA highlights)
Hygiene,Hygiene,H113,"On inspection, you find symptoms which lead you to suspect TB. You should report the fact to Animal and Plant Health Agency and:",Incinerate or bury the infected glands and pluck and then sell the carcass,Keep the infected glands and associated organs in a plastic bag in a cool place and isolate the carcass for examination,Sell the carcass and freeze the glands in a double plastic bag,Incinerate or bury the whole carcass,B,Known (FSA highlights)
Hygiene,Hygiene,H114,"If you suspect a notifiable disease and inform the Animal and Plant Health Agency, what records must you keep?","Weather, name of hunter and carcass sex and weight",Date and place of cull,"The game dealer keeps records, you need keep none",A receipt from the game dealer,B,Known (FSA highlights)
Hygiene,Hygiene,H115,"If you suspect notifiable disease in game, you must?",Collect and retain a receipt from the game dealer,Record carcass details in your larder register,"Ask the game dealer to keep records, you need keep none",Keep samples and carcass separate from other game and report to the Animal and Plant Health Agency,D,Known (FSA highlights)
Hygiene,Hygiene,H116,Who has a responsibility to keep records in respect of carcasses supplied for human consumption?,The game dealer only.,The head keeper only.,The Restaurant manager only,Everyone who supplies game at whatever level,D,Known (FSA highlights)
Hygiene,Hygiene,H117,"The principle that all game must be traceable requires that large game should be individually labelled and that trays of small game should be labelled, when should this take place?",When the carcasses are placed on the game-cart or transport after being shot.,Immediately after being inspected by a trained person and before being placed in the larder.,When being put on the transport for delivery to the game-dealer,On delivery to the game-dealer,B,Known (FSA highlights)
Hygiene,Hygiene,H118,"You have a large modern cold room/ chiller with separate hanging areas for large and small game so that cross contamination cannot take place. When you have both large and small game in the chiller, what is the maximum temperature at which it may be kept?",10C,7C,4C,2C,C,Known (FSA highlights)
Hygiene,Hygiene,H119,Carcasses of any game which have been handled in an unhygienic way must be;,Carefully put with others to go to the dealer so that he does not notice the problem.,Washed carefully to remove any contamination,Always rejected so that they do not enter the human food chain.,Used for making sausages,C,Known (FSA highlights)
